date,order_id,customer_id,customer_name,product,category,subcategory,quantity,amount
2026-04-21 11:33,ORD5001,C129,Neha,Croissant,Desserts,Baked,2,190
2026-04-21 09:43,ORD5002,C100,Aarav,Croissant,Desserts,Baked,1,95
2026-04-21 09:43,ORD5002,C100,Aarav,Veg Sandwich,Food,Sandwiches,1,120
2026-04-21 19:27,ORD5003,C118,Farhan,Cappuccino,Beverages,Hot Coffee,2,280
2026-04-21 11:46,ORD5004,C156,Naveen,Cheesecake Slice,Desserts,Cakes,1,180
2026-04-21 10:58,ORD5005,C132,Gaurav,Paneer Tikka Sandwich,Food,Sandwiches,2,320
2026-04-21 18:38,ORD5006,C132,Gaurav,Fries,Food,Snacks,1,110
2026-04-21 12:49,ORD5007,C134,Harsh,Cappuccino,Beverages,Hot Coffee,1,140
2026-04-21 12:49,ORD5007,C134,Harsh,Chicken Sandwich,Food,Sandwiches,2,360
2026-04-21 12:49,ORD5007,C134,Harsh,Blueberry Muffin,Desserts,Baked,2,220
2026-04-21 20:51,ORD5008,C153,Rekha,Filter Coffee,Beverages,Hot Coffee,1,90
2026-04-21 14:05,ORD5009,C136,Yash,Blueberry Muffin,Desserts,Baked,2,220
2026-04-21 09:34,ORD5010,C148,Sameer,Iced Americano,Beverages,Cold Beverages,2,280
2026-04-21 09:34,ORD5010,C148,Sameer,Blueberry Muffin,Desserts,Baked,1,110
2026-04-21 13:55,ORD5011,C133,Anjali,Green Tea,Beverages,Tea,1,80
2026-04-21 13:55,ORD5011,C133,Anjali,Croissant,Desserts,Baked,1,95
2026-04-21 14:41,ORD5012,C142,Rajat,Cheesecake Slice,Desserts,Cakes,1,180
2026-04-21 14:14,ORD5013,C115,Ritu,Cappuccino,Beverages,Hot Coffee,1,140
2026-04-21 14:37,ORD5014,C114,Sanjay,Cafe Latte,Beverages,Hot Coffee,1,150
2026-04-21 18:14,ORD5015,C103,Priya,Filter Coffee,Beverages,Hot Coffee,2,180
2026-04-21 14:32,ORD5016,C104,Kiran,Blueberry Muffin,Desserts,Baked,1,110
2026-04-21 16:46,ORD5017,C108,Arjun,Blueberry Muffin,Desserts,Baked,2,220
2026-04-21 16:46,ORD5017,C108,Arjun,Fresh Lime Soda,Beverages,Cold Beverages,1,90
2026-04-21 16:46,ORD5017,C108,Arjun,Croissant,Desserts,Baked,1,95
2026-04-21 18:22,ORD5018,C127,Kavya,Chocolate Brownie,Desserts,Baked,2,260
2026-04-21 11:43,ORD5019,C103,Priya,Cold Coffee,Beverages,Cold Beverages,1,160
2026-04-21 11:43,ORD5019,C103,Priya,Filter Coffee,Beverages,Hot Coffee,1,90
2026-04-21 09:06,ORD5020,C155,Payal,Green Tea,Beverages,Tea,1,80
2026-04-22 17:27,ORD5021,C108,Arjun,Chocolate Brownie,Desserts,Baked,1,130
2026-04-22 18:04,ORD5022,C159,Aditi,Croissant,Desserts,Baked,1,95
2026-04-22 16:34,ORD5023,C141,Bhavna,Cafe Latte,Beverages,Hot Coffee,1,150
2026-04-22 16:34,ORD5023,C141,Bhavna,Fresh Lime Soda,Beverages,Cold Beverages,1,90
2026-04-22 11:55,ORD5024,C113,Nisha,Filter Coffee,Beverages,Hot Coffee,1,90
2026-04-22 14:24,ORD5025,C100,Aarav,Chocolate Brownie,Desserts,Baked,1,130
2026-04-22 18:46,ORD5026,C144,Mohit,Croissant,Desserts,Baked,1,95
2026-04-22 18:46,ORD5026,C144,Mohit,Blueberry Muffin,Desserts,Baked,1,110
2026-04-22 18:46,ORD5026,C144,Mohit,Iced Americano,Beverages,Cold Beverages,1,140
2026-04-22 17:34,ORD5027,C147,Ira,Chicken Sandwich,Food,Sandwiches,1,180
2026-04-22 16:30,ORD5028,C137,Deepa,Cheesecake Slice,Desserts,Cakes,1,180
2026-04-22 16:30,ORD5028,C137,Deepa,Masala Chai,Beverages,Tea,1,60
2026-04-22 21:11,ORD5029,C154,Dhruv,Cafe Latte,Beverages,Hot Coffee,1,150
